timestamp,magx,magy,magz
10187,-986,2606,-2796
10209,-992,2624,-2827
10230,-919,2643,-2916
10275,-934,2712,-2874
10297,-949,2780,-2909
10319,-983,2781,-2952
10385,-960,2893,-2939
10407,-964,2919,-2985
10451,-942,3069,-3040
10495,-977,3089,-3093
10583,-995,3267,-3118
10627,-985,3394,-3198
10649,-1009,3440,-3202
10693,-1041,3520,-3196
10715,-1000,3565,-3246
10737,-1005,3624,-3392
10803,-1036,3733,-3321
10825,-1117,3812,-3396
10847,-1113,3831,-3411
10869,-1123,3881,-3382
10891,-1148,3933,-3470
10935,-1171,4019,-3482
10957,-1241,4061,-3506
11001,-1231,4106,-3662
11023,-1239,4174,-3663
11045,-1277,4189,-3732
11089,-1267,4274,-3832
11111,-1318,4254,-3837
11133,-1334,4312,-3899
11155,-1300,4343,-3957
11177,-1331,4369,-3958
11221,-1362,4414,-4049
11353,-1354,4541,-4320
11375,-1364,4552,-4334
11397,-1389,4557,-4458
11419,-1361,4616,-4476
11463,-1333,4601,-4518
11485,-1333,4665,-4470
11529,-1324,4674,-4556
11551,-1294,4685,-4599
11705,-1277,4682,-4657
11727,-1262,4689,-4673
11793,-1278,4760,-4705
11837,-1261,4711,-4632
11903,-1236,4743,-4737
11925,-1269,4742,-4713
11969,-1268,4701,-4732
12079,-1235,4685,-4765
12101,-1233,4749,-4852
12145,-1233,4721,-4718
12167,-1272,4746,-4772
12211,-1244,4732,-4737
12255,-1305,4744,-4740
12277,-1265,4700,-4737
12321,-1270,4715,-4832
12365,-1248,4725,-4817
12387,-1261,4688,-4774
12409,-1272,4691,-4807
12431,-1251,4655,-4836
12541,-1248,4615,-4941
12585,-1242,4561,-4894
12629,-1236,4544,-4909
12651,-1207,4569,-4841
12673,-1231,4552,-4871
12695,-1188,4532,-4935
12761,-1131,4522,-4927
12805,-1086,4450,-4870
12827,-1082,4468,-4815
12871,-1058,4465,-4834
12915,-1014,4473,-4825
12937,-976,4476,-4782
12959,-959,4468,-4825
13091,-889,4490,-4655
13157,-784,4473,-4465
13179,-833,4536,-4538
13201,-828,4513,-4484
13311,-827,4605,-4253
13355,-838,4612,-4174
13377,-819,4561,-4186
13399,-818,4615,-4204
13421,-843,4636,-4110
13443,-852,4631,-4104
13465,-871,4615,-4116
13487,-846,4603,-4030
14037,-1019,4704,-3677
14103,-1030,4704,-3598
14301,-1136,4731,-3392
14345,-1129,4681,-3301
14367,-1151,4738,-3327
14697,-1548,4820,-2751
14719,-1584,4829,-2752
14741,-1620,4799,-2672
14763,-1685,4886,-2692
14785,-1718,4896,-2620
14807,-1749,4870,-2672
14829,-1773,4891,-2530
14851,-1851,4891,-2583
14873,-1883,4890,-2576
14895,-1896,4879,-2543
14917,-1951,4895,-2468
14939,-1967,4883,-2548
15005,-2082,4907,-2502
15027,-2082,4915,-2520
15049,-2109,4916,-2478
15071,-2155,4912,-2497
15093,-2197,4920,-2450
15115,-2183,4944,-2470
15137,-2231,4900,-2426
