timestamp,magx,magy,magz
10054,-1013,4758,-3595
10142,-1042,4733,-3460
10164,-1069,4704,-3378
10209,-1126,4739,-3325
10252,-1118,4781,-3248
10362,-1238,4779,-3168
10561,-1412,4860,-2928
10670,-1480,4861,-2834
10692,-1550,4864,-2784
10737,-1620,4828,-2769
10912,-1842,4948,-2634
11066,-2076,4960,-2585
11088,-2143,4999,-2582
11111,-2156,5013,-2628
11220,-2288,5030,-2619
11264,-2380,5011,-2598
11330,-2405,4948,-2600
11352,-2377,4974,-2562
11418,-2407,4960,-2539
11440,-2372,4992,-2542
11485,-2389,4950,-2552
11550,-2456,4952,-2547
11660,-2443,4923,-2546
11814,-2381,4907,-2537
11836,-2367,4932,-2541
11880,-2448,4957,-2483
11902,-2388,4924,-2489
11924,-2374,4933,-2547
12034,-2361,4924,-2547
12056,-2384,4904,-2507
12188,-2416,4919,-2474
12210,-2431,4940,-2464
12254,-2427,4933,-2503
12276,-2447,4924,-2457
12364,-2441,4936,-2505
12518,-2408,4937,-2486
12584,-2417,4928,-2483
12606,-2444,4938,-2487
12628,-2409,4927,-2462
12672,-2401,4920,-2483
12694,-2395,4947,-2515
12782,-2414,4949,-2467
12804,-2377,4908,-2474
12826,-2360,4947,-2468
12848,-2401,4959,-2489
12870,-2372,4919,-2441
12892,-2402,4921,-2457
12914,-2407,4918,-2460
12936,-2431,4922,-2488
12959,-2425,4958,-2462
13002,-2393,4916,-2526
13090,-2436,4923,-2465
13112,-2417,4914,-2465
13178,-2435,4939,-2490
13310,-2412,4943,-2399
13486,-2396,4939,-2430
13597,-2382,4934,-2449
