timestamp,magx,magy,magz
10187,-970,2609,-2785
10209,-970,2657,-2823
10230,-965,2695,-2856
10275,-960,2743,-2890
10297,-960,2795,-2919
10319,-963,2853,-2949
10385,-963,2924,-2986
10407,-965,2998,-3020
10451,-976,3078,-3046
10495,-982,3156,-3079
10583,-987,3232,-3123
10627,-992,3319,-3157
10649,-1006,3402,-3198
10693,-1020,3485,-3237
10715,-1036,3559,-3268
10737,-1052,3636,-3302
10803,-1068,3704,-3336
10825,-1091,3765,-3364
10847,-1111,3825,-3405
10869,-1129,3885,-3448
10891,-1154,3942,-3492
10935,-1178,4001,-3532
10957,-1204,4048,-3579
11001,-1223,4094,-3625
11023,-1240,4140,-3674
11045,-1259,4184,-3727
11089,-1279,4228,-3779
11111,-1295,4276,-3855
11133,-1307,4320,-3931
11155,-1321,4361,-4003
11177,-1332,4401,-4077
11221,-1337,4439,-4148
11353,-1343,4474,-4206
11375,-1344,4513,-4272
11397,-1340,4547,-4335
11419,-1338,4577,-4399
11463,-1332,4606,-4464
11485,-1324,4638,-4524
11529,-1316,4653,-4552
11551,-1304,4671,-4589
11705,-1293,4688,-4612
11727,-1285,4695,-4635
11793,-1276,4703,-4658
11837,-1267,4711,-4692
11903,-1258,4715,-4707
11925,-1256,4720,-4723
11969,-1253,4725,-4730
12079,-1257,4730,-4736
12101,-1256,4724,-4739
12145,-1257,4725,-4757
12167,-1258,4723,-4765
12211,-1257,4718,-4770
12255,-1258,4717,-4777
12277,-1259,4715,-4783
12321,-1260,4702,-4791
12365,-1261,4688,-4807
12387,-1258,4670,-4820
12409,-1255,4655,-4829
12431,-1248,4637,-4841
12541,-1241,4622,-4859
12585,-1228,4604,-4868
12629,-1213,4579,-4873
12651,-1197,4559,-4876
12673,-1178,4539,-4879
12695,-1156,4522,-4878
12761,-1131,4510,-4863
12805,-1106,4501,-4857
12827,-1074,4496,-4834
12871,-1036,4488,-4800
12915,-1000,4486,-4770
12937,-967,4484,-4729
12959,-939,4492,-4667
13091,-917,4507,-4604
13157,-893,4515,-4547
13179,-871,4529,-4490
13201,-855,4544,-4425
13311,-844,4558,-4363
13355,-836,4571,-4299
13377,-832,4581,-4242
13399,-854,4602,-4170
13421,-871,4618,-4085
13443,-899,4637,-3985
13465,-927,4644,-3899
13487,-955,4656,-3822
14037,-1022,4679,-3691
14103,-1091,4699,-3559
14301,-1162,4714,-3429
14345,-1238,4737,-3300
14367,-1315,4762,-3164
14697,-1397,4787,-3041
14719,-1465,4804,-2937
14741,-1540,4821,-2844
14763,-1608,4835,-2770
14785,-1678,4853,-2701
14807,-1750,4867,-2623
14829,-1788,4873,-2605
14851,-1834,4880,-2582
14873,-1876,4891,-2568
14895,-1914,4893,-2549
14917,-1954,4895,-2537
14939,-1995,4899,-2517
15005,-2032,4904,-2512
15027,-2066,4905,-2498
15049,-2101,4906,-2482
15071,-2143,4914,-2475
15093,-2177,4916,-2471
15115,-2212,4921,-2459
15137,-2239,4923,-2448
15159,-2270,4926,-2439
15203,-2299,4929,-2434
15247,-2327,4931,-2427
15269,-2352,4935,-2428
15291,-2373,4931,-2419
15313,-2394,4937,-2412
15335,-2410,4940,-2406
15357,-2419,4940,-2400
15379,-2430,4941,-2401
15401,-2442,4936,-2393
15423,-2452,4935,-2395
15445,-2460,4929,-2394
15599,-2468,4924,-2389
15621,-2475,4920,-2382
15709,-2480,4914,-2377
15731,-2490,4917,-2383
15753,-2494,4914,-2386
15775,-2501,4910,-2386
15797,-2505,4906,-2391
15819,-2515,4902,-2381
15841,-2520,4902,-2387
15863,-2525,4896,-2385
15907,-2526,4897,-2382
15929,-2528,4897,-2382
15951,-2526,4897,-2384
15973,-2525,4894,-2382
15995,-2526,4888,-2379
16017,-2533,4886,-2381
16039,-2532,4885,-2385
16061,-2532,4881,-2378
16083,-2530,4881,-2387
16105,-2528,4879,-2383
16127,-2524,4879,-2388
16149,-2522,4877,-2398
16193,-2520,4875,-2403
16303,-2521,4874,-2409
17051,-2519,4876,-2414
17161,-2515,4877,-2420
17183,-2508,4875,-2418
17227,-2509,4872,-2423
17249,-2507,4872,-2428
17271,-2507,4872,-2432
17293,-2505,4869,-2444
17315,-2506,4870,-2448
17337,-2505,4872,-2440
17359,-2502,4870,-2443
17381,-2498,4867,-2443
17403,-2502,4864,-2440
17425,-2503,4864,-2437
17469,-2505,4860,-2442
17491,-2504,4862,-2444
17513,-2505,4862,-2442
17579,-2502,4860,-2439
17601,-2502,4863,-2435
17623,-2502,4864,-2429
17645,-2503,4860,-2431
17667,-2507,4862,-2430
